recipe_name,ingredients,instructions,prep_time,source
Flourless Pumpkin Chocolate Muffins,"1 cup pumpkin puree | 1/2 cup pure maple syrup, honey, or agave | 2 large eggs | 1 teaspoon vanilla extract | 1/4 cup cashew or almond butter | 1/4 cup unsweetened plant-based milk | 2¼ cups rolled oats | 1 teaspoon baking powder | 1/2 teaspoon baking soda | 1/2 teaspoon salt | 1 teaspoon ground cinnamon | 1¼ cups chocolate chips, divided","Preheat oven to 350°F; grease a 12-cup muffin tin or line with paper cups. Place all ingredients except chocolate chips in a blender, starting with wet ingredients. Blend 10 seconds until oats begin to break down. Add 1 cup chocolate chips and blend 10 more seconds. Divide batter into muffin cups, filling 3/4 full. Top with remaining 1/4 cup chocolate chips. Bake 20 minutes until a toothpick comes out clean.",10 minutes,https://weelicious.com/flourless-pumpkin-chocolate-muffins-recipe/
Protein Cereal Bars,3/4 cup peanut butter | 1/2 cup honey | 3½ cups O's cereal | 3 tablespoons hemp seeds | 2 tablespoons chia seeds,"Melt peanut butter and honey together in a saucepan over low heat, stirring 1 minute, or microwave in 30-second increments until combined. In a bowl, stir together cereal, hemp seeds, and chia seeds. Pour peanut butter mixture over cereal and stir to coat evenly. Press mixture firmly into a greased, parchment-lined 8x8-inch pan until smooth and flat. Refrigerate or freeze 15 minutes. Cut into bars.",5 minutes,https://weelicious.com/protein-cereal-bars-recipe/
Watermelon Fries with Honey Lime Yogurt Dip,1 seedless watermelon | Tajín (optional) || FOR DIP: 1 cup Greek yogurt | Juice of 1 lime | 2 tablespoons honey,"Cut watermelon in half then into 1-inch half moons. Remove the rind and cut into 3-inch sticks. Sprinkle with Tajín if desired. For dip: mix Greek yogurt, lime juice, and honey until combined. Serve watermelon fries alongside dip.",5 minutes,https://weelicious.com/watermelon-fries-recipe/
Crispy Green Bean Fries with Honey Mustard Dip,"1 cup whole wheat panko or breadcrumbs | 1/2 teaspoon kosher salt | 1/2 teaspoon garlic powder | 2 large eggs | 1/4 cup flour | 1 pound fresh green beans, cut into 2–3-inch pieces | Cooking oil spray || FOR DIP: 1/4 cup mustard (yellow or Dijon) | 1 tablespoon honey","Mix panko, salt, and garlic powder in a bowl. Whisk eggs in second bowl. Place flour in third bowl. Dip green beans in flour, then egg, then breadcrumb mixture. AIR FRYER: Air fry at 400°F for 6–8 minutes until golden. OVEN: Preheat to 450°F. Arrange coated beans on a greased baking sheet, spray with oil, bake 15 minutes until golden. Mix mustard and honey for dipping sauce. Serve immediately.",15 minutes,https://weelicious.com/fried-green-beans-w-honey-mustard-dip/
Sweet Spinach Muffins with Banana,1 cup sliced ripe banana (about 2 small) | 2 cups lightly packed baby spinach | 3/4 cup milk | 1/4 cup honey | 2 tablespoons melted butter or neutral oil | 2 eggs | 1 teaspoon vanilla extract | 1 cup rolled oats | 1 teaspoon baking soda | 1/8 teaspoon salt | 1 cup whole-wheat flour | Mini chocolate chips (optional),"Preheat oven to 375°F; grease a standard muffin tin. Place all ingredients except flour and chocolate chips in a blender and blend until very smooth — batter should be green like a smoothie. Pulse in flour just to combine. Pour batter into muffin tin, filling each cup about 3/4 full. Sprinkle chocolate chips on top if using. Bake 18–20 minutes until firm to touch and lightly browned around edges. Cool on a wire rack.",10 minutes,https://www.yummytoddlerfood.com/super-green-banana-spinach-muffins/
Frozen Chocolate Peanut Butter Banana Bites,"2 bananas, sliced into about 30 wheels | 5 tablespoons peanut butter (or almond, cashew, or sunflower butter) | 1 tablespoon coconut oil | 1 cup semi-sweet, dark, or milk chocolate chips","Place 15 banana slices on a parchment-lined baking sheet. Top each with 1/2 teaspoon peanut butter. Top with another banana slice to make sandwiches. Freeze for 1 hour. Melt coconut oil and chocolate chips together until smooth; cool 5 minutes. Using a fork, dip frozen banana sandwiches in chocolate until coated. Return to parchment and freeze 1 more hour. Store in freezer bags up to 3 months.",10 minutes,https://weelicious.com/frozen-chocolate-peanut-butter-banana-bites-recipe/
Very Berry Muffins,"1/2 cup all-purpose flour | 3/4 cup whole wheat flour | 3/4 cup old-fashioned oats | 2 teaspoons baking powder | 1/2 teaspoon kosher salt | 1/3 cup brown sugar | 1 large egg, whisked | 1 teaspoon vanilla extract | 3/4 cup milk | 1/3 cup vegetable or canola oil | 2 cups frozen berries","Preheat oven to 375°F. Combine flours, oats, baking powder, salt, and brown sugar in a bowl. In a separate bowl, combine egg, vanilla, milk, and oil. Slowly stir dry ingredients into wet ingredients. Gently fold in frozen berries (don't thaw first) — don't overmix. Pour batter into greased or lined muffin tins. Bake 20–22 minutes. Cool 5 minutes then remove to a rack.",5 minutes,https://weelicious.com/very-berry-muffins/
Baked Blueberry Doughnuts,"1 cup all-purpose flour | 1 teaspoon baking powder | 1/2 teaspoon kosher salt | 2 tablespoons unsalted butter, softened | 1/2 cup granulated sugar | 1 large egg | 1/2 cup buttermilk | 1 teaspoon vanilla extract | 1 cup fresh blueberries | Powdered sugar for dusting","Preheat oven to 375°F. Whisk flour, baking powder, and salt; set aside. Cream butter and sugar with a mixer. Add egg, buttermilk, and vanilla; combine. Add flour mixture and mix until just combined. Gently fold in blueberries. Spoon into greased and floured doughnut pan, filling 3/4 full. Bake 14 minutes until tops spring back when pressed. Cool and dust with powdered sugar.",10 minutes,https://weelicious.com/baked-blueberry-doughnuts/
Easy Homemade Pickles,"1 pound vegetables of choice, cut into equal sizes | 3 tablespoons kosher salt | 1 tablespoon sugar | 1 cup distilled white vinegar | 1 cup water | 4 garlic cloves, thinly sliced | 6 sprigs dill | 2 bay leaves","Divide the vegetables between 2 16-ounce mason jars. Combine salt, sugar, vinegar, and water in a saucepan over low heat; whisk until salt and sugar dissolve. Divide garlic, dill, and bay leaves between the jars. Pour vinegar mixture over vegetables and cover jars. Refrigerate for 2–3 days before enjoying. Keeps up to 2–3 weeks refrigerated.",5 minutes,https://weelicious.com/homemade-pickles/
Tomato Bruschetta,"1/2 baguette, sliced into 1/2-inch pieces | 3 tablespoons extra virgin olive oil, plus more for bread | 2½ cups cored, seeded, and diced tomatoes | 2 tablespoons thinly sliced fresh basil | 1/4 teaspoon minced garlic | 3/4 teaspoon kosher salt","Preheat oven to 350°F. In a bowl, combine tomatoes, 3 tablespoons olive oil, basil, garlic, and salt; stir and let marinate. Brush bread slices lightly with olive oil and place on a lined baking sheet. Bake 4–7 minutes until golden. Let bread cool completely. Top cooled bread slices with tomato mixture and serve.",5 minutes,https://weelicious.com/tomato-bruschetta-recipe/
Peach and Ricotta Crostini,"1/2 baguette, sliced into 1/2-inch pieces | Oil or cooking spray | 2 ripe peaches, roughly chopped | 1/2 cup ricotta cheese | Honey to taste | Fresh basil for garnish (optional)","Preheat oven to 400°F. Lightly brush or spray baguette slices with oil. Bake on a baking sheet 3–5 minutes until golden. Allow bread to cool completely. Spread each piece with 2 tablespoons ricotta, top with 2 tablespoons chopped peaches, and drizzle with honey. Garnish with fresh basil if desired.",10 minutes,https://weelicious.com/peach-and-ricotta-crostini/
Favorite Chicken Salad (with Canned Chicken),25 ounces canned chicken (two 12.5-ounce cans) | 1/2 cup dried cranberries | 1/2 cup mayonnaise | 1 teaspoon Dijon mustard | 1/4 cup minced red onion | 1/4 cup minced fresh parsley | 1/2 teaspoon black pepper,"Drain the chicken. Add to a medium bowl with cranberries, mayo, mustard, red onion, parsley, and pepper. Stir well, breaking up any chicken chunks. Serve with crackers, over lettuce, or in a sandwich. Store in an airtight container in the fridge up to 5 days.",10 minutes,https://www.yummytoddlerfood.com/chicken-salad/
Quick Pasta with Peas,"1 pound pasta (small shapes preferred) | 2 cups frozen petite peas | 2 tablespoons butter | 1/4 cup grated Parmesan cheese | 1/4 cup heavy cream or half-and-half (optional) | Salt, pepper, lemon zest, fresh basil (optional)","Bring a large pot of salted water to a boil; cook pasta per package directions. Place peas in a colander in the sink. When pasta is done, drain directly over the peas. Return pasta and peas to the pot. Stir in butter, Parmesan, and cream if using. Season with optional toppings. Serve warm.",5 minutes,https://www.yummytoddlerfood.com/pasta-with-peas/
DIY Pizza Lunchables,1 mini naan flatbread | 1/4 cup shredded mozzarella cheese | 4–6 slices pepperoni | 2 tablespoons pizza sauce | Milk and fruit (optional sides),"Place naan, mozzarella, pepperoni, and pizza sauce in a lunchbox. Use a small dip container for the pizza sauce to prevent spills. Kids can assemble their own little pizza or dip the bread in the sauce and eat everything separately. Serve cold or warm the bread first if preferred.",5 minutes,https://www.yummytoddlerfood.com/diy-pizza-lunchables/
Homemade Lunchables,"1/2 cup crackers (or mini naan or pita bread) | 1/4 cup cheese (cheddar, mozzarella, or Colby Jack) | 1–2 ounces deli meat (turkey, ham, pepperoni, or salami) | 1/2 cup produce (cucumbers, carrots, strawberries, or other fruit) | Dip, sauce, or dessert (optional)",Place all ingredients into a lunch box compartments. Use a small dip container for any sauces to prevent spills. Seal the lunchbox. Kids can stack the ingredients to make little sandwiches or eat them separately. Make up to 48 hours ahead and refrigerate.,5 minutes,https://www.yummytoddlerfood.com/homemade-lunchables/
Tea Sandwiches for Kids,"4 slices soft sandwich bread per flavor || PB&J: 1/4 cup peanut butter + 1/4 cup jelly || NUTELLA-RASPBERRY: 1/4 cup Nutella + 1 cup lightly mashed raspberries || GOAT CHEESE-CUCUMBER: 1/4 cup herbed goat cheese + 1 cup thinly sliced cucumber || CREAM CHEESE-CUCUMBER: 1/4 cup cream cheese + 1 cup thinly sliced cucumber || HUMMUS-CARROT: 1/4 cup hummus + 1/2 cup shredded carrot || EGG-BUTTER: 1/4 cup unsalted butter + 2 hard-cooked eggs, sliced","Place bread on a cutting board. Use a 3–4-inch round cookie cutter to cut circles from each slice. Add a thin layer of spread to one bread round. Add a thin layer of filling on top. For PB&J, add jelly to the second piece. Press rounds together. Serve immediately or refrigerate in an airtight container up to 24 hours.",10 minutes,https://www.yummytoddlerfood.com/tea-sandwiches-for-kids/
Turkey Sweet Potato Baby Meatballs,1 pound ground turkey | 1/2 cup Italian-flavored breadcrumbs | 1/2 cup shredded sweet potato | 1/2 cup shredded or grated Parmesan | 1 egg,Preheat oven to 400°F; line a rimmed baking sheet with foil and coat with nonstick spray. Mix all ingredients together with clean hands. Roll into 1-tablespoon-size balls and place on the baking sheet. Bake 18–20 minutes until golden brown and cooked through. Serve warm with marinara or store/freeze.,10 minutes,https://www.yummytoddlerfood.com/turkey-sweet-potato-meatballs/
Mini Egg Muffins with Cheese and Veggies,"1 tablespoon onion, peeled and grated (or 1/4 teaspoon onion powder) | 1/2 cup butternut squash, finely grated (or minced broccoli, grated carrot, or minced spinach) | 2 eggs, lightly beaten | 1/2 cup cottage cheese, drained if needed | 1/4 cup shredded cheddar cheese | 2 tablespoons grated Parmesan","Preheat oven to 350°F; grease 12 mini muffin cups very well with nonstick spray. Stir all ingredients together in a medium bowl. Spoon into muffin cups, filling nearly to the brim. Bake 18–20 minutes until firm to the touch and golden around the edges. Cool 5 minutes before removing from pan.",10 minutes,https://www.yummytoddlerfood.com/egg-and-cheese-mini-muffins/
Favorite Salmon Salad Sandwich,"14.5-ounce can wild Alaskan salmon, drained | 1/4 cup plain whole milk Greek yogurt (or mayonnaise) | 2 tablespoons relish | 1 teaspoon Dijon mustard | 1 teaspoon dried parsley | Bread, crackers, or cucumbers for serving","Drain the salmon. Add all ingredients to a bowl. Mix well with a fork, mashing thoroughly to crush the soft bones and combine flavors. Serve on toast, with crackers, or as a dip with sliced cucumbers. Store in an airtight container in the fridge up to 5 days.",5 minutes,https://www.yummytoddlerfood.com/simple-wild-salmon-salad/
Favorite Pesto Meatballs,"1 pound ground chicken | 1/2 cup shredded zucchini, squeezed very dry | 1/2 cup Italian-flavored breadcrumbs | 1/2 cup shredded Parmesan | 1/4 cup pesto | 1 egg",Preheat oven to 400°F; line a rimmed baking sheet with foil and coat with nonstick spray. Mix all ingredients together with clean hands. Roll into tablespoon-size balls and place on baking sheet. Bake 22–24 minutes until golden brown and cooked through. (Air fryer: 12 minutes at 375°F.) Serve with marinara or pesto sauce.,10 minutes,https://www.yummytoddlerfood.com/pesto-meatballs/
Easy Cornbread Muffins,1 cup cornmeal | 1 cup all-purpose flour | 2 teaspoons baking powder | 1/2 teaspoon salt | 1 cup milk | 1/3 cup maple syrup | 1/3 cup canola oil (or melted butter),Preheat oven to 400°F; grease a 24-cup mini muffin tin. Stir all ingredients together in a medium bowl until combined. Portion 1½ tablespoons batter into each cup. Bake 8–10 minutes until edges are lightly golden and a tester inserted in the center comes out clean. Transfer to a wire rack to cool. Serve warm or at room temperature.,10 minutes,https://www.yummytoddlerfood.com/maple-cornmeal-muffins/
Blueberry Oatmeal Muffins,"1/2 cup applesauce | 1/2 cup milk | 1/4 cup unsalted butter, melted and cooled | 2 eggs, lightly beaten | 1 teaspoon vanilla extract | 1¼ cups all-purpose flour | 3/4 cup rolled oats | 1/3 cup sugar | 1 teaspoon cinnamon | 1 teaspoon baking powder | 1/2 teaspoon baking soda | 1/2 teaspoon salt | 1 cup blueberries","Preheat oven to 375°F; grease a 12-cup muffin pan (skip paper liners). Whisk applesauce, milk, butter, eggs, and vanilla in a medium bowl. Add flour, oats, sugar, cinnamon, baking powder, baking soda, and salt; whisk into a thick batter. Gently stir in blueberries. Divide batter among muffin cups (about 1/4 cup each). Bake 14–16 minutes until golden and a tester comes out clean. Cool briefly then transfer to a wire rack.",10 minutes,https://www.yummytoddlerfood.com/blueberry-oatmeal-muffins/
Raspberry Oatmeal Bars,"1½ cups rolled oats | 1 cup all-purpose flour | 1/2 cup unsalted butter, melted | 1/3 cup sugar (or honey) | 1/4 cup milk | 1 teaspoon vanilla extract | 1/4 teaspoon salt | 1/2 cup natural raspberry preserves | 1 cup halved raspberries","Preheat oven to 350°F; line an 8x8-inch pan with parchment paper, leaving overhang. Mix oats, flour, sugar, butter, milk, vanilla, and salt in a bowl into a thick uniform dough. Reserve 1 cup for topping. Press remaining dough into the pan. Spread preserves evenly over dough, then sprinkle raspberries on top. Crumble reserved dough over top; press lightly. Bake 35–40 minutes until lightly browned. Cool completely, lift out with parchment, and slice with a serrated knife.",10 minutes,https://www.yummytoddlerfood.com/raspberry-oatmeal-bars/
Quinoa Bites (with Veggies),"1 cup cauliflower florets | 1 cup fully cooked quinoa, slightly cooled | 1/3 cup shredded cheddar cheese | 2 tablespoons plain or seasoned breadcrumbs | 1 tablespoon all-purpose flour | 2 tablespoons shredded Parmesan | 1 egg | 1/4 teaspoon salt | 1/2 teaspoon pizza seasoning or cumin (optional)","Preheat oven to 375°F; line a baking sheet with parchment. Boil water and pour over cauliflower in a bowl; soak 5 minutes. Drain and pat very dry with a towel. Place cauliflower, quinoa, cheeses, egg, breadcrumbs, flour, salt, and spices in a food processor. Process into a uniform batter. Scoop 1-tablespoon balls onto baking sheet. Bake 22–24 minutes until lightly golden. Serve with ketchup. (Air fryer: 12 minutes at 375°F.)",30 minutes,https://www.yummytoddlerfood.com/quinoa-bites/
Greek Yogurt Banana Muffins,"1½ cups all-purpose flour | 1 teaspoon cinnamon | 1 teaspoon baking powder | 1/2 teaspoon baking soda | 1/4 teaspoon salt | 1 cup mashed very ripe banana (about 2 medium) | 1/4 cup plain whole-milk Greek yogurt | 1/4 cup unsalted butter, melted and cooled | 2 eggs, lightly beaten | 1 teaspoon pure vanilla extract","Preheat oven to 375°F; grease a 12-cup muffin pan. In a medium bowl, stir together banana, yogurt, butter, eggs, and vanilla. Add flour, cinnamon, baking powder, baking soda, and salt; gently stir into a thick batter. Divide batter among muffin cups (heaping 1/4 cup each). Bake 14–16 minutes until edges are lightly golden and a tester comes out clean. Transfer to a wire rack to cool.",10 minutes,https://www.yummytoddlerfood.com/greek-yogurt-banana-muffins/
Blueberry Cottage Cheese Muffins,"1 cup whole-milk cottage cheese | 1/3 cup maple syrup | 1/4 cup unsalted butter, melted and cooled | 2 eggs, lightly beaten | 2 teaspoons pure vanilla extract | 1½ cups all-purpose flour | 1 teaspoon baking powder | 1/2 teaspoon baking soda | 1/4 teaspoon salt | 1 teaspoon cinnamon | 1 cup blueberries","Preheat oven to 375°F; grease a 12-cup muffin pan. Blend cottage cheese smooth in a blender. Combine with maple syrup, butter, eggs, and vanilla in a large bowl; whisk together. In another bowl, combine flour, baking powder, baking soda, salt, and cinnamon. Gently stir cottage cheese mixture into flour mixture (batter will be thick). Fold in blueberries. Divide batter among muffin cups (about 1/4 cup each). Bake 16–18 minutes until edges are golden and a tester comes out clean. Transfer to a wire rack.",10 minutes,https://www.yummytoddlerfood.com/blueberry-cottage-cheese-muffins/
Baked Apples with Cinnamon and Raisins,"2 apples, cored | 2–3 teaspoons raisins | 2 tablespoons water | 1/2 teaspoon cinnamon | 2 tablespoons apple juice","Preheat oven to 350°F. Place cored apples in a small baking dish. Fill the center of each apple with raisins. Stir water, cinnamon, and apple juice together in a small bowl; pour evenly into the centers of each apple. Bake about 55 minutes until apples are fork-tender. Let cool slightly, remove skins if desired, and serve warm.",2 minutes,https://weelicious.com/baked-apples-with-cinnamon-and-raisins/
